Date,Open,High,Low,Close,Adj Close,Volume
4/22/2021,227.300003,230.929993,226.889999,227.570007,227.239929,7303000
4/23/2021,228.610001,231.820007,227.710007,230,229.666397,5345200
4/26/2021,230.770004,232.949997,229.520004,230.339996,230.005905,5650000
4/27/2021,231.029999,231.160004,228.990005,229.910004,229.576538,6642100
4/28/2021,230.949997,236.270004,230.669998,233.449997,233.111389,10111400
4/29/2021,235.229996,237.5,233.149994,236.860001,236.516449,7411400
4/30/2021,235.320007,235.929993,232.289993,233.559998,233.221237,10260200
5/3/2021,234.050003,235.740005,231.389999,232.610001,232.272614,8174400
5/4/2021,231.600006,232.389999,230.229996,232.029999,231.693451,5884500
5/5/2021,233.850006,233.850006,228.660004,229.210007,228.877563,6523200
5/6/2021,229.630005,231.580002,228.660004,231.320007,230.984497,6124100
5/7/2021,232.339996,233.220001,230.710007,232.119995,231.783325,4528700
5/10/2021,231.600006,232,225.160004,225.970001,225.642242,9627400
5/11/2021,223.740005,226.419998,222.039993,225.479996,225.152954,7633300
5/12/2021,223.630005,225,220.309998,220.630005,220.309998,7721300
5/13/2021,221.509995,224.899994,220.889999,223.740005,223.740005,6650100
5/14/2021,225.820007,227.509995,224.919998,226.940002,226.940002,4777200
5/17/2021,226.179993,227.160004,225.320007,226.440002,226.440002,5534200
5/18/2021,228.389999,229.179993,225.429993,225.570007,225.570007,6900000
5/19/2021,222.759995,224.850006,221.789993,224.589996,224.589996,9311900
5/20/2021,225.440002,227.600006,225.240005,226.440002,226.440002,7478600
5/21/2021,226.880005,229.309998,226.550003,226.770004,226.770004,5603900
5/24/2021,227.949997,230.110001,227.630005,229.320007,229.320007,4040100
5/25/2021,229.899994,230.190002,228.419998,229.020004,229.020004,4689100
5/26/2021,228.050003,229.350006,226.380005,227.070007,227.070007,4295600
5/27/2021,227.759995,228.419998,226.369995,226.860001,226.860001,5969600
5/28/2021,227.589996,229.429993,227.149994,227.300003,227.300003,5779700
6/1/2021,229.440002,230.080002,226.279999,226.630005,226.630005,5091500
6/2/2021,229.220001,233.110001,228.779999,229.660004,229.660004,9081100
6/3/2021,229,230.389999,227.770004,228.110001,228.110001,6382400
6/4/2021,229.350006,230.699997,228.729996,230.139999,230.139999,5085700
6/7/2021,232.850006,234.679993,230.080002,231.320007,231.320007,5421300
6/8/2021,232.149994,232.850006,230.160004,232.050003,232.050003,4170600
6/9/2021,232.5,234.850006,232.119995,232.309998,232.309998,4659000
6/10/2021,233.100006,234.259995,232.130005,233.949997,233.949997,4452500
6/11/2021,234.389999,235.440002,233.710007,234.960007,234.960007,5378300
6/14/2021,234.699997,235.220001,231.570007,234.080002,234.080002,5805800
6/15/2021,234.440002,234.800003,232.619995,232.979996,232.979996,7093800
6/16/2021,233.619995,234.179993,228,229.600006,229.600006,8905400
6/17/2021,229.210007,233.339996,229.210007,232.149994,232.149994,6876700
6/18/2021,230.449997,232.179993,229.220001,230.410004,230.410004,8840000
6/21/2021,231.449997,235.009995,230.399994,234.320007,234.320007,7298400
6/22/2021,234.300003,236.089996,233.240005,235.929993,235.929993,8858400
6/23/2021,235.449997,235.919998,233.940002,234.679993,234.679993,6814700
6/24/2021,237,238.25,235.410004,236.240005,236.240005,4611500
6/25/2021,236.399994,238.479996,236.320007,237.320007,237.320007,7825200
6/28/2021,238,238.369995,231.860001,234.089996,234.089996,9301700
